turn_id,pause_index,p_eot
hi__041,0,0.547478
hi__041,1,0.344488
hi__042,0,0.439261
hi__042,1,0.533483
hi__043,0,0.376411
hi__043,1,0.610472
hi__044,0,0.172899
hi__044,1,0.450487
hi__045,0,0.378207
hi__045,1,0.481851
hi__046,0,0.229345
hi__046,1,0.374476
hi__046,2,0.441611
hi__047,0,0.331152
hi__048,0,0.383533
hi__049,0,0.680180
hi__050,0,0.487874
hi__051,0,0.338899
hi__051,1,0.393658
hi__051,2,0.438125
hi__052,0,0.652043
hi__053,0,0.352820
hi__053,1,0.449613
hi__053,2,0.336098
hi__054,0,0.535219
hi__054,1,0.577035
hi__055,0,0.229494
hi__055,1,0.562624
hi__056,0,0.537961
hi__057,0,0.222407
hi__057,1,0.675967
hi__058,0,0.168561
hi__058,1,0.424271
hi__059,0,0.327825
hi__059,1,0.322036
hi__059,2,0.621282
hi__060,0,0.636812
hi__060,1,0.519328
hi__061,0,0.326882
hi__061,1,0.560735
hi__062,0,0.547038
hi__063,0,0.226821
hi__063,1,0.467605
hi__063,2,0.353162
hi__063,3,0.755795
hi__064,0,0.144146
hi__064,1,0.217886
hi__064,2,0.575066
hi__064,3,0.720350
hi__064,4,0.483328
hi__065,0,0.450521
hi__066,0,0.209383
hi__066,1,0.426905
hi__066,2,0.655970
hi__067,0,0.439543
hi__068,0,0.699112
hi__069,0,0.500917
hi__069,1,0.219142
hi__069,2,0.414147
hi__069,3,0.261934
hi__069,4,0.259038
hi__069,5,0.446797
hi__070,0,0.218379
hi__070,1,0.562109
hi__071,0,0.317227
hi__071,1,0.212500
hi__071,2,0.413517
hi__072,0,0.479785
hi__072,1,0.661605
hi__073,0,0.253120
hi__073,1,0.395609
hi__073,2,0.281444
hi__073,3,0.348093
hi__073,4,0.333716
hi__073,5,0.352381
hi__074,0,0.682818
hi__074,1,0.312847
hi__075,0,0.508121
hi__075,1,0.749576
hi__076,0,0.436790
hi__077,0,0.442131
hi__077,1,0.220378
hi__077,2,0.745088
hi__078,0,0.461449
hi__078,1,0.236558
hi__078,2,0.358417
hi__078,3,0.378543
hi__079,0,0.387067
hi__079,1,0.385678
hi__079,2,0.823312
hi__080,0,0.180755
hi__080,1,0.543654
hi__081,0,0.348904
hi__081,1,0.567696
hi__081,2,0.578177
hi__082,0,0.624793
hi__083,0,0.637899
hi__084,0,0.837263
hi__085,0,0.519369
hi__085,1,0.555303
hi__085,2,0.605764
hi__086,0,0.338929
hi__086,1,0.233723
hi__087,0,0.361027
hi__087,1,0.204511
hi__087,2,0.653549
hi__088,0,0.220934
hi__088,1,0.314362
hi__088,2,0.446284
hi__089,0,0.266390
hi__089,1,0.177366
hi__089,2,0.518862
hi__090,0,0.374200
hi__090,1,0.276377
hi__090,2,0.722538
hi__090,3,0.286718
hi__091,0,0.591093
hi__092,0,0.491523
hi__093,0,0.606846
hi__094,0,0.340604
hi__094,1,0.303195
hi__094,2,0.656282
hi__094,3,0.544023
hi__094,4,0.286318
hi__094,5,0.793911
hi__095,0,0.296615
hi__095,1,0.655087
hi__096,0,0.246466
hi__096,1,0.283085
hi__096,2,0.249920
hi__096,3,0.321034
hi__097,0,0.204553
hi__097,1,0.689571
hi__097,2,0.194296
hi__097,3,0.484885
hi__097,4,0.174896
hi__097,5,0.137252
hi__098,0,0.492522
hi__099,0,0.464018
hi__099,1,0.633025
